Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,normalized_solar_radiation,avg_solar_radiation
-13.0,133.75,0.7398868458274399,0.9885609949168584,0.24383123612498006,-0.0056694368876162,183.9,0.17496748,0.1402813461552901,488.2821
-13.0,134.0,0.7227722772277227,0.9946351268313178,0.20465051024344558,-0.0026718233290704,196.0,0.15065771,0.1508906063574974,485.58328
-13.0,134.25,0.7016973125884016,0.9929469104882693,0.18454077616047115,-0.0035049662819974,210.9,0.13818058,0.162901137074848,482.528
-13.0,134.5,0.6773691654879774,0.9917595916571044,0.16420224123544253,-0.0040909138835212,228.1,0.12556149,0.17912369528156769,478.40125
-13.0,134.75,0.6503536067892504,0.9978268886905761,0.14290900594702,-0.0010966733718911,247.2,0.112350054,0.19695893714460888,473.86426
-13.0,135.0,0.6213578500707213,0.9897870815305433,0.138485307029149,0.0050643571974,267.7,0.10960536,0.2133906677805233,469.6843
-13.0,135.25,0.5906647807637907,0.9984448498474372,0.161047268452057,-0.0007917065439479,289.4,0.12360398,0.23883348062411147,463.21207
-13.0,135.5,0.5586987270155587,0.9707396193243683,0.14895209133752824,-0.0144643721738941,312.0,0.1160995,0.25901942591150706,458.0771
-13.0,135.75,0.5258840169731259,0.9483750395068316,0.1310424942894317,-0.0255014007791898,335.2,0.10498745,0.2696881239473814,455.36316
-13.0,136.0,0.49207920792079207,0.9414710829265459,0.12338629849334,-0.028908536834864,359.1,0.100237146,0.2780470017249157,453.2368
-13.0,136.25,0.4577086280056577,0.9332950100732992,0.1531466928554771,-0.0329434684408451,383.4,0.11870205,0.269587960190646,455.38864
-13.0,136.5,0.42263083451202266,0.9161753999660499,0.24424588527005806,-0.0413920790566841,408.2,0.17522475,0.2487308626980932,460.69434
-13.0,141.75,0.34639321074964635,0.8850202459400227,0.2565012197505696,0.0567672986670264,462.1,0.1828286,0.21796486508574886,468.5207
-13.0,142.0,0.3746817538896746,0.8986204385822075,0.21138728961552242,0.0500555376389196,442.1,0.15483756,0.2826513896758134,452.06552
-13.0,142.25,0.401980198019802,0.8988418491888539,0.20301276941754462,0.0499462704307266,422.8,0.14964157,0.2974239713648016,448.30762
-13.0,142.5,0.42871287128712876,0.9123784641298951,0.21414255396815685,0.0432658853064779,403.9,0.15654707,0.2999956011285798,447.65344
-13.0,142.75,0.45629420084865635,0.9216214674917325,0.24928922251233568,0.0387044183200313,384.4,0.1783539,0.30660731322004753,445.97153
-13.0,143.0,0.48288543140028284,0.9211923023427788,0.2658658886475298,0.0389162134024358,365.6,0.18863893,0.3314697423491775,439.64694
-13.0,143.25,0.5079207920792079,0.9254971233194276,0.3517141210776986,0.0367917633726305,347.9,0.24190366,0.34901506753014544,435.1837
-13.25,130.25,0.9268741159830268,0.9549688645017667,0.1500220044326311,-0.0222473161649845,51.7,0.11676333,0.1601825244671008,483.21957
-13.25,130.5,0.9323903818953324,0.9408605874776859,0.09744254586987064,-0.029209819299701,47.8,0.084140286,0.16083237025304675,483.05426
-13.25,130.75,0.9466760961810466,0.9387760405879539,0.10255902975497573,-0.0302385532995685,37.7,0.08731482,0.1706666585948622,480.55258
-13.25,131.0,0.9841584158415841,0.9329329830104837,0.10217514848870032,-0.0331221305521293,11.2,0.08707664,0.15924366614602226,483.4584
-13.25,131.25,0.9881188118811881,0.9330343598374248,0.10207481039048899,-0.0330721005963693,8.4,0.087014385,0.14014670688259845,488.31635
-13.25,131.5,0.9623762376237623,0.9309453334029227,0.11076609146119931,-0.0341030452733061,26.6,0.09240691,0.12342804718058875,492.5693
-13.25,131.75,0.9446958981612447,0.9373766520570675,0.12437907269649054,-0.0309291583264157,39.1,0.100853115,0.11373496300446939,495.03506
-13.25,132.0,0.9236209335219236,0.9496920463723673,0.12069691833922268,-0.0248514515037337,54.0,0.098568514,0.10682869556401531,496.7919
