Longitude,Latitude,avg_wind_speed
131.25,-13.5,4.3104053
131.5,-13.5,4.449326
131.75,-13.5,4.5382586
132.0,-13.5,4.5592217
132.25,-13.5,4.615489
132.5,-13.5,4.7670465
132.75,-13.5,4.8627515
133.0,-13.5,5.4308543
133.25,-13.5,5.657507
133.5,-13.5,5.4242897
133.75,-13.5,5.1303473
134.0,-13.5,4.916942
134.25,-13.5,4.761029
134.5,-13.5,4.8805733
134.75,-13.5,5.041872
135.0,-13.5,5.02403
135.25,-13.5,4.943149
135.5,-13.5,4.6115026
135.75,-13.5,4.6319995
141.75,-13.5,4.910723
142.0,-13.5,4.8737454
142.25,-13.5,5.0216913
142.5,-13.5,5.118322
142.75,-13.5,5.330071
143.0,-13.5,5.494656
143.25,-13.5,5.435298
143.5,-13.5,5.9226294
130.0,-13.75,4.212305
130.25,-13.75,4.15348
130.5,-13.75,4.2613
130.75,-13.75,4.397291
131.0,-13.75,4.415541
131.25,-13.75,4.505077
131.5,-13.75,4.7044177
131.75,-13.75,4.8423915
132.0,-13.75,4.867353
132.25,-13.75,4.986484
132.5,-13.75,5.1268034
132.75,-13.75,5.0572925
133.0,-13.75,5.4735255
133.25,-13.75,5.54378
133.5,-13.75,5.3237944
133.75,-13.75,5.1016173
134.0,-13.75,4.8948226
134.25,-13.75,4.8883867
134.5,-13.75,5.0479403
134.75,-13.75,5.2187395
135.0,-13.75,5.0520225
135.25,-13.75,4.8478174
135.5,-13.75,4.67144
135.75,-13.75,4.6990175
141.5,-13.75,5.601433
141.75,-13.75,4.8017364
142.0,-13.75,4.764781
142.25,-13.75,4.9671326
142.5,-13.75,5.014387
142.75,-13.75,5.227482
143.0,-13.75,5.352703
143.25,-13.75,5.0419493
143.5,-13.75,5.433455
126.75,-14.0,4.661771
127.0,-14.0,4.631054
127.25,-14.0,4.97266
129.75,-14.0,4.4792323
130.0,-14.0,4.0754766
130.25,-14.0,4.1680317
130.5,-14.0,4.385706
130.75,-14.0,4.4596252
131.0,-14.0,4.516177
