Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-12.75,142.75,0.0389140458622326,404.3,0.17520995,443.1439,13,65,14,78
-12.75,143.0,0.0367171773398738,386.4,0.21096197,444.62967,15,67,19,77
-12.75,143.25,0.0332847920756432,369.7,0.30939013,443.67313,16,71,45,78
-13.0,130.25,-0.0185489128964642,28.3,0.10399284,491.2762,78,85,4,40
-13.0,130.5,-0.0323497806609209,20.8,0.07392615,486.29758,82,72,2,45
-13.0,130.75,-0.0331654962313006,21.8,0.076495565,480.93124,82,71,2,50
-13.0,131.0,-0.0304945204983509,6.4,0.078721344,483.12427,93,73,2,48
-13.0,131.25,-0.0267780526376251,16.2,0.077053554,488.7274,85,77,2,43
-13.0,131.5,-0.0228874507193852,18.9,0.08097267,493.66818,83,81,2,37
-13.0,131.75,-0.0175254404788748,15.3,0.08766887,496.41907,86,86,2,34
-13.0,132.0,-0.0130025088415658,40.2,0.091415875,496.70917,74,90,3,33
-13.0,132.25,-0.0081299808960119,67.2,0.08441171,497.6318,65,94,2,32
-13.0,132.5,-0.0118576522403773,94.5,0.086393945,497.50797,59,91,2,32
-13.0,132.75,-0.0195834059756071,122.0,0.099927485,497.97794,52,84,3,31
-13.0,133.0,-0.020733902356421,149.5,0.13887061,494.9182,47,82,8,36
-13.0,133.25,-0.0160434242249244,168.2,0.17349805,493.52112,43,87,14,38
-13.0,133.5,-0.0097811382369227,175.4,0.18300755,491.48358,42,92,15,40
-13.0,133.75,-0.0056694368876162,183.9,0.17496748,488.2821,40,96,14,43
-13.0,134.0,-0.0026718233290704,196.0,0.15065771,485.58328,38,98,10,46
-13.0,134.25,-0.0035049662819974,210.9,0.13818058,482.528,36,97,8,48
-13.0,134.5,-0.0040909138835212,228.1,0.12556149,478.40125,33,97,6,52
-13.0,134.75,-0.0010966733718911,247.2,0.112350054,473.86426,31,100,4,56
-13.0,135.0,0.0050643571974,267.7,0.10960536,469.6843,28,96,4,59
-13.0,135.25,-0.0007917065439479,289.4,0.12360398,463.21207,25,100,5,64
-13.0,135.5,-0.0144643721738941,312.0,0.1160995,458.0771,22,89,5,68
-13.0,135.75,-0.0255014007791898,335.2,0.10498745,455.36316,19,78,4,70
-13.0,136.0,-0.028908536834864,359.1,0.100237146,453.2368,17,75,3,72
-13.0,136.25,-0.0329434684408451,383.4,0.11870205,455.38864,15,71,5,70
-13.0,136.5,-0.0413920790566841,408.2,0.17522475,460.69434,13,62,14,66
-13.0,141.75,0.0567672986670264,462.1,0.1828286,468.5207,9,43,15,60
-13.0,142.0,0.0500555376389196,442.1,0.15483756,452.06552,10,51,11,73
