Latitude,Longitude,min_distance_nature_land_km
-14.0,132.0,25.8
-14.0,132.25,2.6
-14.0,132.5,0.0
-14.0,132.75,0.0
-14.0,133.0,0.2
-14.0,133.25,27.5
-14.0,133.5,54.8
-14.0,133.75,82.1
-14.0,134.0,109.5
-14.0,134.25,136.8
-14.0,134.5,164.2
-14.0,134.75,191.3
-14.0,135.0,215.0
-14.0,135.25,239.5
-14.0,135.5,222.2
-14.0,135.75,205.1
-14.0,136.0,190.2
-14.0,136.25,178.3
-14.0,141.25,83.9
-14.0,141.5,59.5
-14.0,141.75,39.1
-14.0,142.0,30.4
-14.0,142.25,28.1
-14.0,142.5,18.0
-14.0,142.75,2.1
-14.0,143.0,1.5
-14.0,143.25,23.5
-14.0,143.5,36.6
-14.0,143.75,23.5
-14.0,144.0,28.8
-14.0,144.25,7.7
-14.0,144.5,18.0
-14.25,125.5,91.9
-14.25,125.75,98.4
-14.25,126.0,101.3
-14.25,126.25,78.8
-14.25,126.5,58.1
-14.25,126.75,38.8
-14.25,127.0,32.4
-14.25,127.25,32.6
-14.25,127.5,44.9
-14.25,127.75,66.7
-14.25,128.0,79.3
-14.25,129.25,104.3
-14.25,129.5,126.1
-14.25,129.75,115.8
-14.25,130.0,91.5
-14.25,130.25,69.6
-14.25,130.5,52.9
-14.25,130.75,46.5
-14.25,131.0,31.6
-14.25,131.25,10.7
-14.25,131.5,13.4
-14.25,131.75,29.8
-14.25,132.0,17.3
-14.25,132.25,2.6
-14.25,132.5,0.0
-14.25,132.75,1.6
-14.25,133.0,25.4
-14.25,133.25,38.8
-14.25,133.5,61.3
-14.25,133.75,86.5
-14.25,134.0,109.0
-14.25,134.25,130.6
-14.25,134.5,154.0
-14.25,134.75,178.5
-14.25,135.0,203.6
-14.25,135.25,223.2
-14.25,135.5,202.6
-14.25,135.75,183.7
-14.25,136.0,167.0
-14.25,141.25,97.6
-14.25,141.5,77.6
-14.25,141.75,62.9
-14.25,142.0,57.5
-14.25,142.25,54.2
-14.25,142.5,35.0
-14.25,142.75,27.1
-14.25,143.0,26.1
-14.25,143.25,38.5
-14.25,143.5,29.8
-14.25,143.75,3.4
-14.25,144.0,21.9
-14.25,144.25,2.1
-14.25,144.5,0.0
-14.25,144.75,13.2
-14.5,125.25,55.5
-14.5,125.5,69.2
-14.5,125.75,71.1
-14.5,126.0,78.8
-14.5,126.25,64.9
-14.5,126.5,40.5
-14.5,126.75,19.6
-14.5,127.0,5.0
-14.5,127.25,6.3
-14.5,127.5,31.4
-14.5,127.75,58.5
-14.5,128.0,57.5
-14.5,128.25,42.3
-14.5,129.5,113.5
-14.5,129.75,129.3
-14.5,130.0,108.2
-14.5,130.25,90.4
-14.5,130.5,78.1
-14.5,130.75,70.0
-14.5,131.0,49.3
-14.5,131.25,36.3
-14.5,131.5,25.8
-14.5,131.75,18.3
-14.5,132.0,34.6
-14.5,132.25,20.0
-14.5,132.5,7.8
-14.5,132.75,10.5
-14.5,133.0,27.4
-14.5,133.25,44.4
-14.5,133.5,52.5
-14.5,133.75,70.5
-14.5,134.0,93.0
-14.5,134.25,117.6
-14.5,134.5,143.1
-14.5,134.75,169.1
-14.5,135.0,195.4
-14.5,135.25,207.0
-14.5,135.5,184.9
-14.5,135.75,164.0
-14.5,141.25,116.1
-14.5,141.5,99.8
-14.5,141.75,88.6
-14.5,142.0,84.1
-14.5,142.25,73.0
-14.5,142.5,60.2
-14.5,142.75,54.1
-14.5,143.0,53.2
-14.5,143.25,60.8
