Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,min_distance_to_line_km
-12.25,134.25,0.6025459688826025,0.9862445315472685,0.16426994990953875,281.0
-12.25,134.5,0.5837340876944836,0.9901838567145709,0.17487020137578288,294.3
-12.25,134.75,0.5623762376237624,0.9929247111375031,0.1890130783341394,309.4
-12.25,135.0,0.5387553041018387,0.994646528553948,0.2068934225273241,326.1
-12.25,135.25,0.5131541725601132,0.9957546153026176,0.21341761503643286,344.2
-12.25,135.5,0.4858557284299858,0.9947657448485506,0.2137342389123242,363.5
-12.25,135.75,0.4571428571428571,0.9846883826164394,0.22812314608017337,383.8
-12.25,136.0,0.4272984441301273,0.9638985866982062,0.2577985798365902,404.9
-12.25,136.5,0.36463932107496466,0.9569217328038684,0.19636067021059553,449.2
-12.25,136.75,0.3321074964639321,0.9369068840018587,0.26397310805516894,472.2
-12.25,141.75,0.26435643564356437,0.8848502698680986,0.2479504249111755,520.1
-12.25,142.0,0.2917963224893918,0.8927632622158056,0.21127148699153261,500.7
-12.25,142.25,0.3186704384724187,0.8956037340223924,0.2223794809857587,481.7
-12.25,142.5,0.34441301272984437,0.8984040582632418,0.23803214372034956,463.5
-12.25,142.75,0.36888260254596894,0.908669366842081,0.29785223347287915,446.2
-12.25,143.0,0.3916548797736916,0.9203427379161947,0.4851169871309131,430.1
-12.5,130.75,0.9920792079207921,0.9901068293201357,0.11558703609013517,5.6
-12.5,131.0,0.9971711456859972,0.9809215725509544,0.08325506274002431,2.0
-12.5,131.25,0.984016973125884,0.993741544820203,0.08104138719378222,11.3
-12.5,131.5,0.9667609618104668,0.9858072324200257,0.09027213764916535,23.5
-12.5,131.75,0.9448373408769448,0.9744388639507341,0.09972533874008183,39.0
-12.5,132.0,0.9172560113154172,0.9690001694628287,0.1066591131228723,58.5
-12.5,132.25,0.886987270155587,0.9643145645117831,0.10497168112508228,79.9
-12.5,132.5,0.8528995756718529,0.9684499337678238,0.0910719832301941,104.0
-12.5,132.75,0.8168316831683169,0.960550325383797,0.09293143329695848,129.5
-12.5,133.0,0.7796322489391796,0.9777388168816025,0.12043173435960493,155.8
-12.5,133.25,0.7420084865629419,0.9996400514815218,0.15645523909783085,182.4
-12.5,133.5,0.7039603960396039,0.9918734198989437,0.19993622329641858,209.3
-12.5,133.75,0.6673267326732674,0.9823043405420068,0.20286782675957107,235.2
-12.5,134.0,0.6537482319660537,0.9729761947958687,0.17365768262764428,244.8
-12.5,134.25,0.6366336633663366,0.9721785890694153,0.1523917757914468,256.9
-12.5,134.5,0.6162659123055163,0.9821766324209078,0.14788760170560872,271.3
-12.5,134.75,0.5932107496463932,0.9869933405684547,0.14234690951936604,287.6
-12.5,135.0,0.5678925035360679,0.9896506923429319,0.1406564394151568,305.5
