Latitude,Longitude,Mean Distance
-14.5,132.0,35.438026780062685
-14.5,132.25,34.899409618804945
-14.5,132.5,34.39389955744663
-14.5,132.75,33.31503135018459
-14.5,133.0,31.395355526861664
-14.5,133.25,29.041350235000703
-14.5,133.5,28.495852565594852
-14.5,133.75,28.894527146295076
-14.5,134.0,29.38802306311978
-14.5,134.25,29.2528611955678
-14.5,134.5,28.860896385181732
-14.5,134.75,27.60989188371886
-14.5,135.0,26.522734341844657
-14.5,135.25,27.798391806716566
-14.5,135.5,29.488805660450733
-14.5,135.75,30.058064054100303
-14.5,141.25,32.334534288634224
-14.5,141.5,30.939518591932153
-14.5,141.75,30.748688766422454
-14.5,142.0,31.28187926603193
-14.5,142.25,31.789264860889983
-14.5,142.5,32.2548293310568
-14.5,142.75,32.50653878303334
-14.5,143.0,32.547541086613585
-14.5,143.25,32.075130159296684
-14.5,143.5,31.569550368422572
-14.5,143.75,32.00730755958265
-14.5,144.0,33.13494767727822
-14.5,144.25,34.95054412284779
-14.5,144.5,35.861084565185045
-14.5,144.75,36.24622979796245
-14.5,145.0,36.327440675274296
-14.75,125.0,25.596420357995406
-14.75,125.25,25.87926236336238
-14.75,125.5,26.97347174244362
-14.75,125.75,28.582244625498408
-14.75,126.0,29.998667336278647
-14.75,126.25,30.701711536090812
-14.75,126.5,30.01107167666731
-14.75,126.75,30.729141689857535
-14.75,127.0,31.65341921839165
-14.75,127.25,30.416509093009523
-14.75,127.5,28.075993579717633
-14.75,127.75,27.608435404685995
-14.75,128.0,28.000565386917092
-14.75,128.25,27.3072001898263
-14.75,128.5,28.141958826624933
-14.75,128.75,28.983936526527177
-14.75,129.0,29.44956771367785
-14.75,129.25,30.046224088520923
-14.75,129.5,31.266270100058776
-14.75,129.75,33.38217049877574
-14.75,130.0,36.07458788058656
-14.75,130.25,36.38499830001817
-14.75,130.5,34.67447993682556
-14.75,130.75,34.66258674080398
-14.75,131.0,35.98397984610324
-14.75,131.25,36.09434459510375
-14.75,131.5,36.05943034822903
-14.75,131.75,36.337365169452006
-14.75,132.0,36.48825610229984
-14.75,132.25,35.63419276872624
-14.75,132.5,34.16267585842704
-14.75,132.75,32.20877584720967
-14.75,133.0,30.40780282310543
-14.75,133.25,29.50660158929112
-14.75,133.5,29.621555354337563
-14.75,133.75,29.962705045873168
-14.75,134.0,29.995402534729802
-14.75,134.25,29.448799112075147
-14.75,134.5,28.834889969419788
-14.75,134.75,28.3514262676142
-14.75,135.0,28.18249003136039
-14.75,135.25,29.20522134539093
-14.75,135.5,29.447650355089255
-14.75,135.75,29.586148114194355
-14.75,141.25,32.813438878728086
-14.75,141.5,31.43114361034721
-14.75,141.75,31.086702838117507
-14.75,142.0,31.361505089645092
-14.75,142.25,31.747846527886146
-14.75,142.5,31.981216044580083
-14.75,142.75,32.15859286390557
-14.75,143.0,32.10445771402704
-14.75,143.25,31.713576612297544
-14.75,143.5,31.368084672936988
-14.75,143.75,31.955167029352214
-14.75,144.0,33.63744373370595
-14.75,144.25,35.282903935664685
-14.75,144.5,35.89636008831397
-14.75,144.75,36.2779131368663
-14.75,145.0,36.65057032833274
-14.75,145.25,36.54488440492374
-15.0,125.0,25.750944442902654
-15.0,125.25,26.45901612486837
-15.0,125.5,28.11234168532489
-15.0,125.75,29.491732304971578
-15.0,126.0,30.433380868890286
-15.0,126.25,30.18982470927618
-15.0,126.5,29.583366491062
-15.0,126.75,30.73236390787599
-15.0,127.0,31.334569360669445
-15.0,127.25,29.554930776077825
-15.0,127.5,27.301975978201348
-15.0,127.75,26.77763235395913
-15.0,128.0,26.88235592641451
-15.0,128.25,27.489539314122677
-15.0,128.5,30.723267534651747
-15.0,128.75,31.600532916458548
-15.0,129.0,31.542013113874994
-15.0,129.25,32.28770560339534
-15.0,129.5,33.307374689952134
-15.0,129.75,33.747976415241006
-15.0,130.0,35.09094995472636
-15.0,130.25,34.38731042276915
-15.0,130.5,32.16678014271975
-15.0,130.75,33.82846135373799
-15.0,131.0,36.39029435310654
-15.0,131.25,36.5454419612768
-15.0,131.5,36.76585200475486
-15.0,131.75,37.203169269999066
-15.0,132.0,36.95642887084515
-15.0,132.25,35.38567590190859
-15.0,132.5,33.608179224926516
-15.0,132.75,32.02687003859411
-15.0,133.0,31.032727397284294
-15.0,133.25,30.66105374218397
-15.0,133.5,30.764579103938598
-15.0,133.75,30.991531360246565
-15.0,134.0,30.567889351354967
-15.0,134.25,30.13050942173399
-15.0,134.5,30.100210344608335
-15.0,134.75,30.461511252146842
-15.0,135.0,30.187934314686114
-15.0,135.25,30.307101985773414
-15.0,135.5,29.867823560397323
-15.0,135.75,29.930457422827367
-15.0,136.0,30.31512898778681
-15.0,141.25,32.90615111444966
-15.0,141.5,31.413122650488063
-15.0,141.75,30.957754185018484
-15.0,142.0,31.273971539952328
-15.0,142.25,31.65921299938069
-15.0,142.5,31.69172699042193
-15.0,142.75,31.752389481010802
-15.0,143.0,31.616730761344016
-15.0,143.25,31.421458513959223
-15.0,143.5,31.37243537137231
-15.0,143.75,32.36165836871925
-15.0,144.0,33.90830686364219
-15.0,144.25,35.106840519622395
-15.0,144.5,36.294689450031726
-15.0,144.75,36.802966110942734
-15.0,145.0,36.942111714651666
-15.0,145.25,37.24347933580216
-15.0,145.5,36.844483780356775
-15.25,124.75,25.66317758978745
-15.25,125.0,26.29087601909167
-15.25,125.25,27.65725922853385
-15.25,125.5,28.660788355868856
-15.25,125.75,29.962512436543882
