Longitude,Latitude,avg_solar_radiation
132.75,-15.25,504.94696
133.0,-15.25,504.7838
133.25,-15.25,503.88312
133.5,-15.25,503.04233
133.75,-15.25,501.79828
134.0,-15.25,499.38898
134.25,-15.25,497.61884
134.5,-15.25,495.6087
134.75,-15.25,493.10837
135.0,-15.25,493.00296
135.25,-15.25,497.05194
135.5,-15.25,501.31888
135.75,-15.25,503.70798
136.0,-15.25,503.6607
136.25,-15.25,502.3959
141.25,-15.25,502.76303
141.5,-15.25,496.4407
141.75,-15.25,491.41705
142.0,-15.25,481.82413
142.25,-15.25,479.9499
142.5,-15.25,479.9484
142.75,-15.25,478.9407
143.0,-15.25,475.67545
143.25,-15.25,470.65408
143.5,-15.25,465.6478
143.75,-15.25,459.90924
144.0,-15.25,455.38794
144.25,-15.25,449.21777
144.5,-15.25,442.02103
144.75,-15.25,438.2673
145.0,-15.25,445.9001
145.25,-15.25,458.5855
145.5,-15.25,467.38995
124.5,-15.5,502.7547
124.75,-15.5,497.1612
125.0,-15.5,492.74283
125.25,-15.5,489.25662
125.5,-15.5,487.15762
125.75,-15.5,489.07187
126.0,-15.5,491.8811
126.25,-15.5,495.8176
126.5,-15.5,500.87894
126.75,-15.5,504.47705
127.0,-15.5,508.6842
127.25,-15.5,511.18976
127.5,-15.5,512.6623
127.75,-15.5,514.0256
128.0,-15.5,511.86447
128.25,-15.5,511.22086
128.5,-15.5,509.56348
128.75,-15.5,506.50162
129.0,-15.5,505.72577
129.25,-15.5,504.33594
129.5,-15.5,503.413
129.75,-15.5,504.49667
130.0,-15.5,504.317
130.25,-15.5,504.12085
130.5,-15.5,504.37683
130.75,-15.5,505.1725
131.0,-15.5,505.385
131.25,-15.5,506.76288
131.5,-15.5,507.83466
131.75,-15.5,507.34866
132.0,-15.5,505.94647
132.25,-15.5,504.98734
132.5,-15.5,505.19604
132.75,-15.5,505.75266
133.0,-15.5,505.20767
133.25,-15.5,504.7447
133.5,-15.5,503.98633
133.75,-15.5,502.28436
134.0,-15.5,500.92493
134.25,-15.5,497.7343
134.5,-15.5,495.4541
134.75,-15.5,494.20575
135.0,-15.5,494.29865
135.25,-15.5,494.51566
135.5,-15.5,494.3913
135.75,-15.5,496.5124
136.0,-15.5,498.65543
136.25,-15.5,498.003
136.5,-15.5,498.5507
141.25,-15.5,498.3686
141.5,-15.5,494.51495
141.75,-15.5,490.5599
142.0,-15.5,483.2034
142.25,-15.5,482.0833
142.5,-15.5,481.60556
142.75,-15.5,481.35666
143.0,-15.5,478.46686
143.25,-15.5,474.52145
143.5,-15.5,469.80014
143.75,-15.5,464.65552
144.0,-15.5,460.051
144.25,-15.5,454.325
144.5,-15.5,449.1583
144.75,-15.5,445.7907
145.0,-15.5,452.365
145.25,-15.5,464.02206
145.5,-15.5,469.4764
124.25,-15.75,502.72568
124.5,-15.75,496.93878
124.75,-15.75,491.71686
125.0,-15.75,486.64142
125.25,-15.75,482.95648
125.5,-15.75,486.72867
125.75,-15.75,490.5868
126.0,-15.75,495.48785
126.25,-15.75,498.6147
126.5,-15.75,503.25354
126.75,-15.75,506.75882
127.0,-15.75,510.6565
127.25,-15.75,513.30066
127.5,-15.75,514.8532
127.75,-15.75,514.8837
128.0,-15.75,512.7909
128.25,-15.75,511.96738
128.5,-15.75,509.56552
128.75,-15.75,506.63095
129.0,-15.75,504.87842
129.25,-15.75,503.6781
129.5,-15.75,503.5444
129.75,-15.75,504.62738
130.0,-15.75,506.33438
130.25,-15.75,507.12305
130.5,-15.75,506.4843
130.75,-15.75,506.10797
131.0,-15.75,505.84778
131.25,-15.75,507.43546
131.5,-15.75,508.70938
131.75,-15.75,508.6875
132.0,-15.75,506.77377
132.25,-15.75,505.9939
132.5,-15.75,506.21173
132.75,-15.75,506.18817
133.0,-15.75,505.83636
133.25,-15.75,505.84204
133.5,-15.75,504.71777
133.75,-15.75,502.78793
134.0,-15.75,501.10742
134.25,-15.75,498.55853
134.5,-15.75,495.8991
134.75,-15.75,495.09122
135.0,-15.75,495.5587
135.25,-15.75,491.81088
135.5,-15.75,489.78232
135.75,-15.75,488.90393
136.0,-15.75,491.1527
136.25,-15.75,495.22897
136.5,-15.75,496.35422
136.75,-15.75,498.95862
137.0,-15.75,501.53052
137.25,-15.75,502.18347
141.25,-15.75,495.16235
141.5,-15.75,492.06006
141.75,-15.75,489.2847
142.0,-15.75,485.16034
142.25,-15.75,483.8353
142.5,-15.75,483.98273
142.75,-15.75,483.48856
143.0,-15.75,482.25803
143.25,-15.75,478.0322
143.5,-15.75,475.50565
143.75,-15.75,471.01514
144.0,-15.75,466.8882
144.25,-15.75,462.3799
144.5,-15.75,458.0851
144.75,-15.75,458.10022
145.0,-15.75,463.79376
145.25,-15.75,466.32224
145.5,-15.75,471.9119
123.75,-16.0,507.3032
124.0,-16.0,503.16776
124.25,-16.0,498.929
124.5,-16.0,493.3883
124.75,-16.0,490.59387
125.0,-16.0,485.74243
125.25,-16.0,483.9892
125.5,-16.0,487.55228
125.75,-16.0,492.6172
126.0,-16.0,497.69266
126.25,-16.0,500.7132
126.5,-16.0,504.39438
126.75,-16.0,508.07974
127.0,-16.0,511.23303
127.25,-16.0,513.63605
127.5,-16.0,514.61554
127.75,-16.0,514.6508
128.0,-16.0,513.6369
128.25,-16.0,513.19214
128.5,-16.0,511.68768
128.75,-16.0,506.76746
129.0,-16.0,505.15616
129.25,-16.0,505.31326
129.5,-16.0,505.1374
129.75,-16.0,505.20413
130.0,-16.0,506.429
130.25,-16.0,507.68268
130.5,-16.0,507.8606
130.75,-16.0,507.63428
131.0,-16.0,508.13162
131.25,-16.0,509.2901
131.5,-16.0,509.55197
131.75,-16.0,509.13858
132.0,-16.0,506.82703
132.25,-16.0,506.08276
132.5,-16.0,505.9283
132.75,-16.0,505.93405
133.0,-16.0,505.94354
133.25,-16.0,505.70645
133.5,-16.0,504.21744
133.75,-16.0,502.60303
134.0,-16.0,500.97324
134.25,-16.0,499.13223
134.5,-16.0,496.33328
134.75,-16.0,496.61807
135.0,-16.0,495.9949
135.25,-16.0,491.5153
135.5,-16.0,487.93103
135.75,-16.0,486.7193
136.0,-16.0,487.41064
136.25,-16.0,491.53577
136.5,-16.0,493.0876
136.75,-16.0,494.8927
137.0,-16.0,496.7697
137.25,-16.0,497.1006
137.5,-16.0,495.06284
137.75,-16.0,494.88574
141.0,-16.0,497.05783
141.25,-16.0,492.38757
141.5,-16.0,489.81546
141.75,-16.0,487.4853
142.0,-16.0,485.0989
142.25,-16.0,485.85272
142.5,-16.0,486.24725
142.75,-16.0,486.8153
143.0,-16.0,485.6607
143.25,-16.0,483.3689
143.5,-16.0,481.0739
143.75,-16.0,477.6309
144.0,-16.0,473.9677
144.25,-16.0,469.8861
144.5,-16.0,466.7067
144.75,-16.0,466.598
145.0,-16.0,466.31262
145.25,-16.0,468.9779
145.5,-16.0,468.57404
123.5,-16.25,507.3125
123.75,-16.25,501.07574
124.0,-16.25,499.13162
124.25,-16.25,496.1293
124.5,-16.25,494.53778
124.75,-16.25,492.20517
125.0,-16.25,490.48593
125.25,-16.25,489.14813
125.5,-16.25,490.71335
125.75,-16.25,494.9434
126.0,-16.25,498.84885
126.25,-16.25,502.058
126.5,-16.25,505.55917
126.75,-16.25,508.4597
127.0,-16.25,511.22333
127.25,-16.25,511.93707
127.5,-16.25,512.70197
127.75,-16.25,513.73035
128.0,-16.25,513.6617
128.25,-16.25,515.07904
128.5,-16.25,514.81226
128.75,-16.25,509.18497
129.0,-16.25,509.44232
129.25,-16.25,509.14215
129.5,-16.25,506.47208
129.75,-16.25,506.53363
130.0,-16.25,505.35
130.25,-16.25,506.16705
130.5,-16.25,508.28467
130.75,-16.25,510.1406
131.0,-16.25,511.19803
131.25,-16.25,511.15894
131.5,-16.25,510.7659
131.75,-16.25,508.87268
132.0,-16.25,507.00223
132.25,-16.25,505.56897
132.5,-16.25,504.91083
132.75,-16.25,505.41833
133.0,-16.25,505.9392
