Longitude,Latitude,avg_capacity_factor
144.25,-14.0,0.5556052
144.5,-14.0,0.59385765
125.5,-14.25,0.17105679
125.75,-14.25,0.16310452
126.0,-14.25,0.15696996
126.25,-14.25,0.12699714
126.5,-14.25,0.10605056
126.75,-14.25,0.09600988
127.0,-14.25,0.11339015
127.25,-14.25,0.14106874
127.5,-14.25,0.16453879
127.75,-14.25,0.19499181
128.0,-14.25,0.2303182
129.25,-14.25,0.22506553
129.5,-14.25,0.15922135
129.75,-14.25,0.102507584
130.0,-14.25,0.091013476
130.25,-14.25,0.103695974
130.5,-14.25,0.11135541
130.75,-14.25,0.11250006
131.0,-14.25,0.111873865
131.25,-14.25,0.11302948
131.5,-14.25,0.11219753
131.75,-14.25,0.124437094
132.0,-14.25,0.13995317
132.25,-14.25,0.1624956
132.5,-14.25,0.1721819
132.75,-14.25,0.15690193
133.0,-14.25,0.17313763
133.25,-14.25,0.1675332
133.5,-14.25,0.14088811
133.75,-14.25,0.13153757
134.0,-14.25,0.13842945
134.25,-14.25,0.15112384
134.5,-14.25,0.16093725
134.75,-14.25,0.1549542
135.0,-14.25,0.12512906
135.25,-14.25,0.106503695
135.5,-14.25,0.13015026
135.75,-14.25,0.1935119
136.0,-14.25,0.25162297
141.25,-14.25,0.2731101
141.5,-14.25,0.21906534
141.75,-14.25,0.13253586
142.0,-14.25,0.12900177
142.25,-14.25,0.14624767
142.5,-14.25,0.16104758
142.75,-14.25,0.18229373
143.0,-14.25,0.19395697
143.25,-14.25,0.17817809
143.5,-14.25,0.17350645
143.75,-14.25,0.2637896
144.0,-14.25,0.3834241
144.25,-14.25,0.4328477
144.5,-14.25,0.5091662
144.75,-14.25,0.5654469
125.25,-14.5,0.14606662
125.5,-14.5,0.12826666
125.75,-14.5,0.10800234
126.0,-14.5,0.1078456
126.25,-14.5,0.10543607
126.5,-14.5,0.086654924
126.75,-14.5,0.080473624
127.0,-14.5,0.10483434
127.25,-14.5,0.13815893
127.5,-14.5,0.15188582
127.75,-14.5,0.15759838
128.0,-14.5,0.1933533
128.25,-14.5,0.2339852
129.5,-14.5,0.1863104
129.75,-14.5,0.13018255
130.0,-14.5,0.10963604
130.25,-14.5,0.121422015
130.5,-14.5,0.12781574
130.75,-14.5,0.12657732
131.0,-14.5,0.12831238
131.25,-14.5,0.11766367
131.5,-14.5,0.110604785
131.75,-14.5,0.11651327
132.0,-14.5,0.13234897
132.25,-14.5,0.14645983
132.5,-14.5,0.15912
132.75,-14.5,0.15886515
133.0,-14.5,0.15466711
133.25,-14.5,0.15542151
133.5,-14.5,0.13987692
133.75,-14.5,0.132501
134.0,-14.5,0.14064816
134.25,-14.5,0.15665928
134.5,-14.5,0.16237712
134.75,-14.5,0.15269263
135.0,-14.5,0.12851073
135.25,-14.5,0.12330979
135.5,-14.5,0.16350086
135.75,-14.5,0.2380858
141.25,-14.5,0.28031456
141.5,-14.5,0.22261027
141.75,-14.5,0.14188638
142.0,-14.5,0.13534172
142.25,-14.5,0.15146643
142.5,-14.5,0.17210999
142.75,-14.5,0.18826641
143.0,-14.5,0.20102637
143.25,-14.5,0.18719472
143.5,-14.5,0.15001874
143.75,-14.5,0.1576683
144.0,-14.5,0.20852683
144.25,-14.5,0.22250922
144.5,-14.5,0.2710772
144.75,-14.5,0.4158748
145.0,-14.5,0.55249155
125.0,-14.75,0.13280252
125.25,-14.75,0.109762505
125.5,-14.75,0.0841063
125.75,-14.75,0.07494874
126.0,-14.75,0.082953736
126.25,-14.75,0.102346815
126.5,-14.75,0.0975248
126.75,-14.75,0.08901224
127.0,-14.75,0.110516824
127.25,-14.75,0.14599621
127.5,-14.75,0.16172585
127.75,-14.75,0.1555602
128.0,-14.75,0.1636824
128.25,-14.75,0.20360489
128.5,-14.75,0.21808375
128.75,-14.75,0.2355536
129.0,-14.75,0.24827291
129.25,-14.75,0.24404667
129.5,-14.75,0.22023267
129.75,-14.75,0.17661323
130.0,-14.75,0.13437717
130.25,-14.75,0.13298853
130.5,-14.75,0.13609175
130.75,-14.75,0.12611753
131.0,-14.75,0.13866177
131.25,-14.75,0.12787944
131.5,-14.75,0.11186903
131.75,-14.75,0.113667145
132.0,-14.75,0.12949994
132.25,-14.75,0.14162341
132.5,-14.75,0.1584719
132.75,-14.75,0.16902138
133.0,-14.75,0.15055388
133.25,-14.75,0.14933911
133.5,-14.75,0.14635263
133.75,-14.75,0.14487688
134.0,-14.75,0.1489763
134.25,-14.75,0.15480767
134.5,-14.75,0.154318
134.75,-14.75,0.14612539
135.0,-14.75,0.12833284
135.25,-14.75,0.145838
135.5,-14.75,0.21573581
135.75,-14.75,0.2764912
141.25,-14.75,0.2866924
141.5,-14.75,0.23482686
141.75,-14.75,0.16111955
142.0,-14.75,0.14776897
142.25,-14.75,0.15866429
142.5,-14.75,0.17765981
142.75,-14.75,0.19383058
143.0,-14.75,0.20477341
143.25,-14.75,0.19423984
143.5,-14.75,0.15747012
143.75,-14.75,0.13285902
144.0,-14.75,0.15373403
144.25,-14.75,0.173295
144.5,-14.75,0.18164125
144.75,-14.75,0.2450261
145.0,-14.75,0.41488624
145.25,-14.75,0.55069214
125.0,-15.0,0.11278784
125.25,-15.0,0.08499686
125.5,-15.0,0.0679136
125.75,-15.0,0.07542728
126.0,-15.0,0.09590706
126.25,-15.0,0.12009021
126.5,-15.0,0.117511496
126.75,-15.0,0.11059313
127.0,-15.0,0.13054794
127.25,-15.0,0.1691133
127.5,-15.0,0.18717405
127.75,-15.0,0.17098555
128.0,-15.0,0.14439777
128.25,-15.0,0.16202372
128.5,-15.0,0.15600078
128.75,-15.0,0.16901308
129.0,-15.0,0.1833784
129.25,-15.0,0.18735091
129.5,-15.0,0.1828849
129.75,-15.0,0.1693886
130.0,-15.0,0.13820371
130.25,-15.0,0.13063568
130.5,-15.0,0.12461814
130.75,-15.0,0.12608409
131.0,-15.0,0.16135396
131.25,-15.0,0.154236
131.5,-15.0,0.13522236
131.75,-15.0,0.13468239
132.0,-15.0,0.14680764
132.25,-15.0,0.15556669
132.5,-15.0,0.1660742
132.75,-15.0,0.17541733
133.0,-15.0,0.15692557
133.25,-15.0,0.14864565
133.5,-15.0,0.15025443
133.75,-15.0,0.15665032
134.0,-15.0,0.15795907
134.25,-15.0,0.15306097
134.5,-15.0,0.14990543
134.75,-15.0,0.14299244
135.0,-15.0,0.12599832
135.25,-15.0,0.14099711
135.5,-15.0,0.20113131
135.75,-15.0,0.25183088
136.0,-15.0,0.27688742
141.25,-15.0,0.29016542
141.5,-15.0,0.24763438
141.75,-15.0,0.17389402
142.0,-15.0,0.15114596
142.25,-15.0,0.1639429
142.5,-15.0,0.18072426
142.75,-15.0,0.19713798
143.0,-15.0,0.2053378
143.25,-15.0,0.20107734
143.5,-15.0,0.17386124
143.75,-15.0,0.14842296
144.0,-15.0,0.15619455
144.25,-15.0,0.17630365
144.5,-15.0,0.21310164
144.75,-15.0,0.22643267
145.0,-15.0,0.28481102
145.25,-15.0,0.45003265
145.5,-15.0,0.56199354
124.75,-15.25,0.10300789
125.0,-15.25,0.07440227
125.25,-15.25,0.059723463
125.5,-15.25,0.06345327
125.75,-15.25,0.07932557
126.0,-15.25,0.1073848
126.25,-15.25,0.12874673
126.5,-15.25,0.12771377
126.75,-15.25,0.13003716
127.0,-15.25,0.15208814
127.25,-15.25,0.18274249
127.5,-15.25,0.19457242
127.75,-15.25,0.14996438
128.0,-15.25,0.119217865
128.25,-15.25,0.13815431
128.5,-15.25,0.13880752
128.75,-15.25,0.14147986
129.0,-15.25,0.13469538
129.25,-15.25,0.13834895
129.5,-15.25,0.1439695
129.75,-15.25,0.13840528
130.0,-15.25,0.12918496
130.25,-15.25,0.13157943
130.5,-15.25,0.12647782
130.75,-15.25,0.14003527
131.0,-15.25,0.1732542
131.25,-15.25,0.1722123
131.5,-15.25,0.15859988
131.75,-15.25,0.16089457
132.0,-15.25,0.16866943
132.25,-15.25,0.16057709
132.5,-15.25,0.16764753
132.75,-15.25,0.17922416
133.0,-15.25,0.17129846
133.25,-15.25,0.15661599
133.5,-15.25,0.15143083
133.75,-15.25,0.15591763
134.0,-15.25,0.1568657
134.25,-15.25,0.15187286
134.5,-15.25,0.15711576
134.75,-15.25,0.1547998
135.0,-15.25,0.1387029
135.25,-15.25,0.13220415
135.5,-15.25,0.15613282
135.75,-15.25,0.17409396
136.0,-15.25,0.20849979
136.25,-15.25,0.2603469
141.25,-15.25,0.27901307
141.5,-15.25,0.22017959
141.75,-15.25,0.15690184
142.0,-15.25,0.14743976
142.25,-15.25,0.16061263
142.5,-15.25,0.1840885
142.75,-15.25,0.19835103
143.0,-15.25,0.21489798
143.25,-15.25,0.21166928
143.5,-15.25,0.19349983
143.75,-15.25,0.16255939
144.0,-15.25,0.15909454
144.25,-15.25,0.15758485
