Latitude,Longitude,normalized_km,normalized_corr
-13.75,134.25,0.7844413012729844,0.7573036226744284
-13.75,134.5,0.7519094766619518,0.7569278449460298
-13.75,134.75,0.717963224893918,0.7835291926326428
-13.75,135.0,0.6828854314002829,0.8135049557745694
-13.75,135.25,0.646958981612447,0.8288408315730298
-13.75,135.5,0.6106082036775107,0.8501220945579339
-13.75,135.75,0.5738330975954737,0.8760639262222786
-13.75,136.0,0.5367751060820367,0.9002604164899464
-13.75,141.25,0.387977369165488,0.7865813013647562
-13.75,141.5,0.3875530410183875,0.7495561231239146
-13.75,141.75,0.4196605374823197,0.7291634430432142
-13.75,142.0,0.45077793493635077,0.741755858343839
-13.75,142.25,0.4810466760961811,0.7361293047348492
-13.75,142.5,0.5103253182461103,0.738389757409575
-13.75,142.75,0.538896746817539,0.7370330352039156
-13.75,143.0,0.5660537482319661,0.7399076115855958
-13.75,143.25,0.5926449787835926,0.7369374847310126
-13.75,143.5,0.6205091937765205,0.7499627330292077
-13.75,143.75,0.6466760961810467,0.7815613497125309
-14.0,126.25,0.6193776520509193,0.8383946777314568
-14.0,126.5,0.6486562942008487,0.8294808001923262
-14.0,126.75,0.675954738330976,0.8304458771073622
-14.0,127.0,0.7008486562942009,0.8363665531703672
-14.0,127.25,0.7226308345120227,0.8332755517309447
-14.0,127.5,0.7405940594059406,0.8369544433238401
-14.0,127.75,0.7537482319660538,0.8385759667835975
-14.0,129.5,0.7669024045261669,0.8454519410918894
-14.0,129.75,0.7885431400282885,0.8494551109431263
-14.0,130.0,0.8048090523338048,0.866580798721793
-14.0,130.25,0.8223479490806224,0.8727635166921437
-14.0,130.5,0.848939179632249,0.8773187077186217
-14.0,130.75,0.8775106082036775,0.8725395702977135
-14.0,131.0,0.9067892503536068,0.8565006446649548
-14.0,131.25,0.9315417256011316,0.8542340930447347
-14.0,131.5,0.9452616690240453,0.8340320781912005
-14.0,131.75,0.9734087694483734,0.8144443247885891
-14.0,132.0,0.9926449787835926,0.8031777605712784
-14.0,132.25,0.9586987270155587,0.7988446744670114
-14.0,132.5,0.9247524752475248,0.7926098233882639
-14.0,132.75,0.9196605374823197,0.7777841550103137
-14.0,133.0,0.921074964639321,0.7817546610492281
-14.0,133.25,0.9110325318246111,0.7720078928268221
-14.0,133.5,0.8950495049504951,0.7542136807409796
-14.0,133.75,0.8691654879773691,0.7403419286568659
-14.0,134.0,0.8381895332390382,0.737705229835864
-14.0,134.25,0.8043847241867044,0.7349960641463616
-14.0,134.5,0.7691654879773692,0.7513593532310975
-14.0,134.75,0.732956152758133,0.776613612021389
-14.0,135.0,0.6961810466760961,0.8179068253984544
-14.0,135.25,0.6591230551626591,0.8300491443411984
-14.0,135.5,0.6216407355021216,0.8508870303745295
-14.0,135.75,0.584016973125884,0.8860629388257635
-14.0,136.0,0.5461103253182462,0.9036129168100634
-14.0,136.25,0.5082036775106082,0.9044460422049977
-14.0,141.25,0.4265912305516266,0.8047808797987102
-14.0,141.5,0.4234794908062235,0.7688858469806122
-14.0,141.75,0.441018387553041,0.7315260239100214
-14.0,142.0,0.4734087694483734,0.7383114672869158
-14.0,142.25,0.504950495049505,0.7379158604958223
-14.0,142.5,0.5355021216407355,0.7364740885726826
-14.0,142.75,0.5649222065063648,0.737986954798371
-14.0,143.0,0.5936350777934936,0.7324437948524405
-14.0,143.25,0.6206506364922206,0.7271645024535065
-14.0,143.5,0.6472418670438472,0.7324446349218239
-14.0,143.75,0.6751060820367751,0.7643811536596279
-14.0,144.0,0.7011315417256011,0.7858841568095543
-14.0,144.25,0.7241867043847242,0.7928322877348992
-14.0,144.5,0.7434229137199434,0.7984803040512375
-14.25,125.5,0.542008486562942,0.8634646566885277
-14.25,125.75,0.5762376237623762,0.8609488449928666
-14.25,126.0,0.6097595473833097,0.8534995208258231
-14.25,126.25,0.6424328147100424,0.854106291843602
-14.25,126.5,0.6736916548797738,0.8517071174438975
-14.25,126.75,0.7032531824611032,0.8572060111857233
-14.25,127.0,0.7305516265912306,0.853598907173214
-14.25,127.25,0.7550212164073551,0.8432444665745327
-14.25,127.5,0.7753889674681753,0.8281134041378355
-14.25,127.75,0.7906647807637907,0.8309589602736103
-14.25,128.0,0.7997171145685997,0.8378311589007129
-14.25,129.25,0.7714285714285715,0.8478669106306649
-14.25,129.5,0.7541725601131541,0.8527000295112515
-14.25,129.75,0.7541725601131541,0.8668083092834625
-14.25,130.0,0.768033946251768,0.8782938614528173
-14.25,130.25,0.7944837340876945,0.8812539003391767
-14.25,130.5,0.823055162659123,0.8754820620606897
-14.25,130.75,0.8521923620933523,0.8632526577011853
-14.25,131.0,0.8780763790664781,0.8593968839059928
-14.25,131.25,0.8958981612446959,0.8506440614459845
-14.25,131.5,0.921074964639321,0.8363397498542992
-14.25,131.75,0.955021216407355,0.8119336249884238
-14.25,132.0,0.9888260254596888,0.7893600113618023
-14.25,132.25,0.9772277227722772,0.7749817917317986
-14.25,132.5,0.9603960396039604,0.7648207469703894
-14.25,132.75,0.9572842998585573,0.757375462660687
-14.25,133.0,0.9588401697312589,0.75764539447588
-14.25,133.25,0.9478076379066478,0.74361055980665
-14.25,133.5,0.9236209335219236,0.7285221511807191
-14.25,133.75,0.8908062234794908,0.7232573565040732
-14.25,134.0,0.8551626591230551,0.7187708830305621
-14.25,134.25,0.8183875530410184,0.7331812666232059
-14.25,134.5,0.7809052333804809,0.7545973156816858
-14.25,134.75,0.7431400282885432,0.7789203918721866
-14.25,135.0,0.7052333804809052,0.8183237821793983
-14.25,135.25,0.667043847241867,0.831968547897401
-14.25,135.5,0.6288543140028289,0.8647941409864974
-14.25,135.75,0.5906647807637907,0.8933515512841127
-14.25,136.0,0.5523338048090523,0.9026139503208961
-14.25,141.25,0.46520509193776516,0.81995106777894
-14.25,141.5,0.4618104667609618,0.7859188962020862
-14.25,141.75,0.46039603960396036,0.7396968095135104
