Longitude,Latitude,min_distance_to_grid_km
140.4889274050749,-34.26578948143597,1.4
135.8512414270917,-34.72919066992204,5.1
138.61132369384345,-34.77262415863337,0.2
116.13697684802337,-32.16749963344487,11.1
115.6357498493678,-33.53232968678884,5.0
117.96455300713122,-33.22449587401945,58.4
117.03606653418731,-21.049345096665625,2.9
117.68420709367376,-33.64828121257201,14.6
115.68287677952448,-32.633882375048344,12.1
115.76549481384104,-32.0146446353194,0.1
146.59736381753996,-43.25125302270424,27.7
131.18701777220812,-13.11226242190142,11.1
151.16655793663807,-33.820014327225266,0.7
149.62886751833278,-29.25302483836176,12.4
148.06553930914586,-32.22607732312655,9.8
151.3123431721603,-30.50771042809882,18.9
146.7230100783735,-36.22558748639396,16.1
143.12546011310755,-35.12019705033961,13.3
131.2057353344363,-27.077606358852083,443.0
136.8811802031941,-30.554372041331018,3.5
140.5844451011278,-36.227909583346765,15.9
137.56007386471688,-34.68355985576168,21.5
118.2887408443632,-34.06211054306241,72.5
115.7669323704897,-31.99909366367936,0.4
145.01479400853938,-41.07901846362685,25.8
134.6511628041819,-15.434850771661122,156.0
152.72860407591563,-30.40378182010594,8.2
152.77560890144815,-28.617785970145132,22.1
150.96450860029924,-32.66036720923662,8.1
147.4836261687447,-34.38793531407957,0.4
147.67986251280195,-31.32565039932401,43.1
145.18852742032757,-37.761517237921446,0.0
144.6466453587631,-38.2645936093516,11.5
142.03311716552938,-37.53650609229183,23.5
145.69696157090303,-37.71430265420784,16.2
147.2430966050694,-19.823565504282666,0.4
145.81896696336213,-17.160235837722446,5.4
143.24023812251426,-13.005331282474645,348.1
133.87242220179502,-32.102124293685954,1.6
134.7523605540225,-29.015843992951176,111.6
140.54731967215446,-36.97725563980362,1.7
138.63639179093917,-34.907457214138866,1.5
122.46365966046385,-18.670222085475466,318.2
118.02864377484671,-31.952581651659,20.2
117.94005198394116,-27.310804145953508,187.8
117.22204039884036,-32.51992651666411,42.7
117.56197217270676,-34.597201821876894,3.7
115.78900012430826,-32.344195616641365,0.9
147.46015322076457,-41.84016171297659,0.4
130.65863729475802,-16.2495808053329,201.7
152.64473991949023,-30.95153506067202,0.7
150.4383982457849,-31.55059849002477,23.3
149.81135468912746,-33.88325695606712,8.7
150.44378771973604,-34.10193572642283,6.5
141.75255645062467,-36.0515058066898,35.0
144.21560979980188,-37.6327967033484,3.3
145.0776154078881,-37.547176814554405,0.8
145.88862031587828,-37.89543864962819,14.8
145.79127266827564,-24.785610550880254,52.9
138.62181706351697,-35.00380784328573,3.3
139.97949183533797,-37.18766658286555,25.9
135.31465048045436,-33.028637349557904,3.5
127.61680275082549,-19.25809616458706,292.7
133.8547753198128,-23.73506298855025,1.3
130.97923361712077,-12.502508902606577,1.8
130.81634897476442,-11.559846959035951,87.8
151.60828365756137,-32.349553158455294,16.2
150.51683015437803,-29.593472147751992,4.1
150.77386075250067,-34.58280651897539,0.2
150.373307100707,-35.09436440423599,0.9
145.57273359191385,-38.08310160023384,2.7
141.36475707997948,-17.44439132855485,41.6
146.4894829188016,-26.189661779986608,25.1
141.80742211630542,-14.719441771107412,335.9
138.84652428983853,-34.41111172564721,3.8
138.5688807221411,-35.17862554512514,0.2
116.52406794869307,-33.89175818727306,16.6
116.07834693939964,-31.3743889375292,10.0
117.2858420687463,-34.31480776224915,17.8
115.85200741251651,-33.41544637263287,2.5
117.96218136663734,-30.18374991617477,143.0
115.84680274773385,-31.959871274050226,1.0
114.52528459401802,-26.53676869895541,245.6
115.8526303805432,-31.931264343510584,0.1
117.369946481508,-33.276683011128206,5.5
115.9200822632931,-32.85792553018662,1.9
122.2450871676444,-25.31201112191356,270.4
116.73544723178767,-31.92636083096892,21.9
145.49643197817858,-33.60895454478421,1.8
151.9030474549138,-29.64496544428649,9.0
149.74241306804788,-32.593786632517705,11.6
144.21165755801832,-35.32468022063232,19.0
146.13148207674905,-37.98397474099825,11.7
137.95634413463344,-33.79887965586548,13.8
136.01970108150806,-34.179335146776324,4.4
136.77460048978253,-29.588002377623997,77.1
118.86402352747832,-25.14009089420472,217.9
118.65625770949126,-30.9675621841986,48.0
150.41111518342078,-33.6975425374138,1.0
149.8134799780686,-34.87603657095049,6.9
153.27072219698968,-28.756093341375152,0.7
152.09570216248804,-32.01526606353053,1.5
145.5581576017899,-38.50728832481517,3.8
143.71383337056474,-37.00714374368024,5.9
146.88258266076562,-36.15051956483025,2.5
140.78167189922613,-37.82532110772871,2.5
115.7802111768363,-31.980189467766888,0.1
